13.667,0.31083,49.804,44.991,43.863
13.833,0.29201,49.761,45.233,43.949
14,0.30925,49.721,45.162,43.961
14.167,0.29686,49.684,45.639,44.173
14.333,0.32282,49.645,46.207,44.504
14.5,0.33691,49.596,46.825,44.877
14.667,0.34401,49.511,47.248,45.17
14.833,0.33616,49.386,47.738,45.464
15,0.33781,49.228,48.062,45.7
15.167,0.3281,49.049,48.476,45.96
15.333,0.32805,48.86,48.745,46.183
15.5,0.32013,48.669,48.768,46.293
15.667,0.30304,48.483,49.02,46.472
15.833,0.30577,48.319,49.229,46.677
16,0.30211,48.181,49.254,46.811
16.167,0.28855,48.065,49.189,46.886
16.333,0.27633,47.978,48.745,46.787
16.5,0.25021,47.931,48.313,46.64
16.667,0.2376,47.939,48.097,46.588
16.833,0.24038,48.015,48.037,46.643
17,0.24584,48.15,48.081,46.768
17.167,0.25046,48.326,48.194,46.936
17.333,0.25447,48.527,48.353,47.126
17.5,0.25821,48.739,48.542,47.325
17.667,0.26178,48.953,48.745,47.524
17.833,0.26517,49.162,48.954,47.715
18,0.26834,49.36,49.159,47.892
18.167,0.27125,49.541,49.71,48.209
18.333,0.29145,49.704,50.248,48.563
18.5,0.3005,49.833,50.582,48.818
18.667,0.29617,49.915,50.779,48.97
18.833,0.2906,49.955,51.246,49.209
19,0.30393,49.966,51.662,49.463
19.167,0.30757,49.948,51.857,49.615
19.333,0.29902,49.895,52.268,49.826
19.5,0.30665,49.817,52.961,50.193
19.667,0.32262,49.72,53.432,50.518
19.833,0.31915,49.592,54.295,50.985
20,0.33483,49.433,55.338,51.593
20.167,0.3488,49.241,55.926,52.048
20.333,0.33457,69.006,62.816,55.132
20.5,0.58867,69.006,70.31,59.527
20.667,1.0963,66.832,73.219,61.725
20.833,0.92121,64.022,72.429,60.989
21,0.71489,60.544,69.205,58.471
21.167,0.54845,56.926,66.006,55.731
21.333,0.46308,53.557,62.992,53.314
21.5,0.40191,50.614,59.963,51.202
21.667,0.34425,48.131,57.141,49.406
21.833,0.28113,46.1,54.669,47.968
22,0.23629,44.503,52.604,46.901
22.167,0.20256,43.31,50.955,46.174
22.333,0.17537,42.477,49.7,45.753
22.5,0.15449,41.961,48.805,45.601
22.667,0.13955,41.723,48.586,45.834
22.833,0.1479,41.724,48.652,46.322
23,0.15018,41.921,48.778,46.899
23.167,0.14322,42.269,48.644,47.37
23.333,0.12105,42.741,48.979,47.992
23.5,0.13284,43.33,49.618,48.798
23.667,0.15001,44.016,50.291,49.648
23.833,0.15302,44.762,50.995,50.491
24,0.16176,45.542,51.735,51.317
24.167,0.17222,46.337,52.504,52.114
24.333,0.184,47.127,52.931,52.712
24.5,0.18095,47.894,52.287,52.718
24.667,0.14043,48.629,51.445,52.397
24.833,0.12304,49.361,50.88,52.098
25,0.13485,50.122,50.499,51.882
25.167,0.15269,50.905,50.925,52.025
25.333,0.20157,31.68,44.997,49.277
25.5,0,31.68,39.12,45.244
25.667,0,33.329,36.979,42.625
25.833,0,35.093,37.115,41.732
26,0,36.958,38.657,42.281
26.167,0,38.909,40.664,43.704
26.333,0,40.93,42.705,45.545
26.5,0.069683,43.007,44.404,47.331
26.667,0.10344,45.08,45.401,48.634
26.833,0.091931,47.074,46.553,49.754
27,0.12113,48.971,48.467,51.126
27.167,0.1937,50.754,50.548,52.584
27.333,0.25021,52.356,52.427,53.86
27.5,0.28202,53.699,54.412,55.025
27.667,0.31839,54.751,56.129,55.978
27.833,0.34544,55.5,58.089,56.91
28,0.3848,55.947,59.297,57.473
28.167,0.3878,56.096,59.796,57.554
28.333,0.37546,55.972,59.607,57.173
28.5,0.3548,55.638,58.455,56.238
28.667,0.31543,55.164,56.928,54.985
28.833,0.28636,54.627,55.73,53.828
29,0.28045,54.092,54.542,52.764
29.167,0.2746,53.59,53.544,51.841
29.333,0.27507,53.125,53.184,51.266
29.5,0.29723,52.699,53.345,51.056
29.667,0.32379,52.291,53.766,51.078
29.833,0.34149,51.868,53.579,50.908
30,0.31917,51.409,53.056,50.521
30.167,0.29343,50.93,52.886,50.25
30.333,0.29614,50.471,52.393,49.918
30.5,0.27849,50.047,51.394,49.351
30.667,0.24318,49.666,50.153,48.617
30.833,0.20774,49.355,49.556,48.147
31,0.21943,49.149,49.705,48.131
31.167,0.25438,49.042,49.923,48.29
31.333,0.26465,48.985,49.999,48.413
